country_name,name,currency_name,exchange_date,conversion_rate
Afghanistan              ,Afghanistan Afghani                     ,AFN,30-Jun-23,85.1
Albania                  ,Albania Lek(e)                          ,ALL,30-Jun-23,95.35
Algeria                  ,Algerian Dinar                          ,DZD,30-Jun-23,134.894
American Samoa           ,US Dollar                               ,USD,30-Jun-23,1
Andorra                  ,Euro                                    ,EUR,30-Jun-23,0.913
Angola                   ,Angolan Kwanza                          ,AOA,30-Jun-23,800.694
Anguilla                 ,E.C. Dollar                             ,XCD,30-Jun-23,2.7
Antigua and Barbuda      ,E.C. Dollar                             ,XCD,30-Jun-23,2.7
Argentina                ,Argentine Peso                          ,ARS,30-Jun-23,255.134
Armenia                  ,Armenian Dram                           ,AMD,30-Jun-23,384.4
Aruba                    ,Aruban Guilder                          ,AWG,30-Jun-23,1.79
Australia                ,Australian Dollar                       ,AUD,30-Jun-23,1.497
Austria                  ,Euro                                    ,EUR,30-Jun-23,0.913
Azerbaijan               ,Azerbaijan Manat                        ,AZN,30-Jun-23,1.695
Bahamas                  ,Bahamian Dollar                         ,BSD,30-Jun-23,1
Bahrain                  ,Bahraini Dinar                          ,BHD,30-Jun-23,0.377
Bangladesh               ,Bangladesh Taka                         ,BDT,30-Jun-23,107
Barbados                 ,Barbados Dollar                         ,BBD,30-Jun-23,2
Belarus                  ,Belarusian Ruble                        ,BYN,30-Jun-23,2.98
Belgium                  ,Euro                                    ,EUR,30-Jun-23,0.913
Belize                   ,Belize Dollar                           ,BZD,30-Jun-23,2
Benin                    ,CFA Franc                               ,XOF,30-Jun-23,599.157
Bermuda                  ,Bermuda Dollar                          ,BMD,30-Jun-23,1
Bhutan                   ,Bhutan Ngultrum                         ,BTN,30-Jun-23,82.03
Bolivia                  ,Bolivia Boliviano                       ,BOB,30-Jun-23,6.855
Bosnia and Herzegovina   ,Bosnia and Herzegovina Convertible Mark ,BAM,30-Jun-23,1.786
Botswana                 ,Botswana Pula                           ,BWP,30-Jun-23,13.333
Brazil                   ,Brazilian Real                          ,BRL,30-Jun-23,4.79
Brunei                   ,Brunei Dollar                           ,BND,30-Jun-23,1.349
Bulgaria                 ,Bulgarian Lev                           ,BGN,30-Jun-23,1.786
Burkina Faso             ,CFA Franc                               ,XOF,30-Jun-23,599.157
Burundi                  ,Burundi Franc                           ,BIF,30-Jun-23,2803.888
Cambodia                 ,Cambodian Riel                          ,KHR,30-Jun-23,4121
Cameroon                 ,CFA Franc                               ,XAF,30-Jun-23,599.157
Canada                   ,Canadian Dollar                         ,CAD,30-Jun-23,1.319
Canary Islands           ,Euro                                    ,EUR,30-Jun-23,0.913
Cape Verde               ,Cape Verde Escudo                       ,CVE,30-Jun-23,100.717
Cayman Islands           ,Cayman Is. Dollar                       ,KYD,30-Jun-23,0.82
Central African Republic ,CFA Franc                               ,XAF,30-Jun-23,599.157
Chad                     ,CFA Franc                               ,XAF,30-Jun-23,599.157
Chile                    ,Chilean Peso                            ,CLP,30-Jun-23,802
China                    ,Chinese Renminbi                        ,CNY,30-Jun-23,7.216
Colombia                 ,Colombian Peso                          ,COP,30-Jun-23,4126
Comoros                  ,Comoros Franc                           ,KMF,30-Jun-23,449.368
Congo                    ,CFA Franc                               ,XAF,30-Jun-23,599.157
"Congo, Dem. Rep.         ","Congo Franc, Dem. Rep.of                ",CDF,30-Jun-23,2210.805
Cook Islands             ,New Zealand Dollar                      ,NZD,30-Jun-23,1.622
Costa Rica               ,Costa Rica Colon                        ,CRC,30-Jun-23,542.51
Cote d'Ivoire            ,CFA Franc                               ,XOF,30-Jun-23,599.157
Croatia                  ,Euro                                    ,EUR,30-Jun-23,0.913
Cuba                     ,Cuban Peso                              ,CUP,30-Jun-23,24
Cyprus                   ,Euro                                    ,EUR,30-Jun-23,0.913
Czech Republic           ,Czech Koruna                            ,CZK,30-Jun-23,21.54
Denmark                  ,Danish Krone                            ,DKK,30-Jun-23,6.802
Djibouti                 ,Djibouti Francs                         ,DJF,30-Jun-23,177
Dominica                 ,E.C. Dollar                             ,XCD,30-Jun-23,2.7
Dominican Republic       ,Dominican Peso                          ,DOP,30-Jun-23,54.727
East Timor               ,US Dollar                               ,USD,30-Jun-23,1
Ecuador                  ,US Dollar                               ,USD,30-Jun-23,1
Egypt                    ,Egyptian Pound                          ,EGP,30-Jun-23,30.864
El Salvador              ,US Dollar                               ,USD,30-Jun-23,1
Equatorial Guinea        ,CFA Franc                               ,XAF,30-Jun-23,599.157
Eritrea                  ,Eritrea Nakfa                           ,ERN,30-Jun-23,15
Estonia                  ,Euro                                    ,EUR,30-Jun-23,0.913
"Eswatini, Kingdom of     ",Lilangeni                               ,SZL,30-Jun-23,18.513
Ethiopia                 ,Ethiopian Birr                          ,ETB,30-Jun-23,54.66
Fiji                     ,Fiji Dollar                             ,FJD,30-Jun-23,2.21
Finland                  ,Euro                                    ,EUR,30-Jun-23,0.913
France                   ,Euro                                    ,EUR,30-Jun-23,0.913
French Guiana            ,Euro                                    ,EUR,30-Jun-23,0.913
French Polynesia         ,CFP Franc                               ,XPF,30-Jun-23,108.999
Gabon                    ,CFA Franc                               ,XAF,30-Jun-23,599.157
Gambia                   ,Gambian Dalasi                          ,GMD,30-Jun-23,59.39
Georgia                  ,Georgian Lari                           ,GEL,30-Jun-23,2.626
Germany                  ,Euro                                    ,EUR,30-Jun-23,0.913
Ghana                    ,Ghana Cedi                              ,GHS,30-Jun-23,11.1
Gibraltar                ,Gibraltar Pound                         ,GIP,30-Jun-23,0.785
Greece                   ,Euro                                    ,EUR,30-Jun-23,0.913
Greenland                ,Danish Krone                            ,DKK,30-Jun-23,6.802
Grenada                  ,E.C. Dollar                             ,XCD,30-Jun-23,2.7
Guadeloupe               ,Euro                                    ,EUR,30-Jun-23,0.913
Guam                     ,US Dollar                               ,USD,30-Jun-23,1
Guatemala                ,Guatemala Quetzal(es)                   ,GTQ,30-Jun-23,7.837
Guinea                   ,Guinean Franc                           ,GNF,30-Jun-23,8505.29
Guinea-Bissau            ,CFA Franc                               ,XOF,30-Jun-23,599.157
Guyana                   ,Guyana Dollar                           ,GYD,30-Jun-23,210.3
Haiti                    ,Haiti Gourde                            ,HTG,30-Jun-23,137.85
Honduras                 ,Honduras Lempira                        ,HNL,30-Jun-23,24.442
Hong Kong                ,HongKong Dollar                         ,HKD,30-Jun-23,7.833
Hungary                  ,Hungary Forint                          ,HUF,30-Jun-23,337.31
Iceland                  ,Iceland Krona                           ,ISK,30-Jun-23,135.92
India                    ,Indian Rupee                            ,INR,30-Jun-23,82.03
Indonesia                ,Indonesia Rupiah                        ,IDR,30-Jun-23,14987
